provincia,anio,monto_nominal,ipc_promedio_anual,monto_real_base2016
Chaco,2014,10577.44806,56.976538710053426,18564.567626382726
Chaco,2015,13412.5887,73.66153516686742,18208.402349497752
Chaco,2016,17702.8017,100.0,17702.8017
Chaco,2017,24603.6384,112.88710833333333,21794.90533795083
Chaco,2018,42968.994397,151.581675,28347.09037025749
Chaco,2019,63319.458648,232.75109166666667,27204.795558459788
Chaco,2020,85839.514937,330.5416833333333,25969.346459228716
Chaco,2021,140801.139902,490.55485833333336,28702.424919482753
Chaco,2022,268020.278376,845.8674583333333,31685.84814742696
Chaco,2023,586339.17625,1975.006925,29687.955461219462
Chaco,2024,1764871.20161,6317.741325,27935.160856083327
Chaco,2025,2433229.7449,8966.166533333333,27137.904876672004
Chubut,2003,200.72,8.396631393694841,2390.482451697519
Chubut,2004,310.9258,8.767402951109663,3546.384279744403
Chubut,2005,388.8942,9.612726384123917,4045.6181156085513
Chubut,2006,474.4804,10.660302377959722,4450.909394286909
Chubut,2007,628.8789,12.18514230002,5161.030413235041
Chubut,2008,770.2992,14.979653147032298,5142.303312627824
Chubut,2009,802.6611,17.456561530567843,4598.048124165093
Chubut,2010,1066.2936,21.376348487281444,4988.193379399789
Chubut,2011,1624.757,26.570964534575943,6114.783668789125
Chubut,2012,1795.4811,32.79133180641779,5475.474770587377
Chubut,2013,2354.2295,40.85103331144704,5762.961935507055
Chubut,2014,3247.95584,56.976538710053426,5700.51448110677
Chubut,2015,4026.4604,73.66153516686742,5466.16411248931
Chubut,2016,5313.354,100.0,5313.354
Chubut,2017,7421.4839,112.88710833333333,6574.252817324211
Chubut,2018,12947.461052100001,151.581675,8541.574073581125
Chubut,2019,18956.8845393,232.75109166666667,8144.702739546765
Chubut,2020,25864.732365,330.5416833333333,7824.953302157907
Chubut,2021,42425.470294,490.55485833333336,8648.466032553646
Chubut,2022,81442.901854,845.8674583333333,9628.329007297685
Chubut,2023,177688.85961100002,1975.006925,8996.872738104452
Chubut,2024,541206.493279,6317.741325,8566.455406101959
Chubut,2025,728125.4338400001,8966.166533333333,8120.810952295646
Corrientes,2003,471.8031,8.396631393694841,5618.956911152301
Corrientes,2004,730.8477,8.767402951109663,8335.965668231307
Corrientes,2005,914.1167,9.612726384123917,9509.442622955825
Corrientes,2006,1116.6491,10.660302377959722,10474.835144532888
Corrientes,2007,1478.85,12.18514230002,12136.501680391313
Corrientes,2008,1815.189,14.979653147032298,12117.697133458776
Corrientes,2009,1894.734,17.456561530567843,10853.993191512363
Corrientes,2010,2511.8751,21.376348487281444,11750.721136935628
Corrientes,2011,3819.0789,26.570964534575943,14373.12858940576
Corrientes,2012,4253.8519,32.79133180641779,12972.488964804574
Corrientes,2013,5593.552,40.85103331144704,13692.559395878507
Corrientes,2014,7730.72427,56.976538710053426,13568.258874658395
Corrientes,2015,9627.6735,73.66153516686742,13070.150490605683
Corrientes,2016,12755.8399,100.0,12755.8399
Corrientes,2017,17824.9688,112.88710833333333,15790.0836181988
Corrientes,2018,31497.523412,151.581675,20779.24222172634
Corrientes,2019,46462.859463,232.75109166666667,19962.466826811517
Corrientes,2020,63198.714395,330.5416833333333,19119.741195021244
Corrientes,2021,103383.056204,490.55485833333336,21074.718647216196
Corrientes,2022,197086.90311599997,845.8674583333333,23299.97462064954
Corrientes,2023,430047.07837,1975.006925,21774.459265250425
Corrientes,2024,1295657.7353700001,6317.741325,20508.242878557554
Corrientes,2025,1775079.7083899998,8966.166533333333,19797.532220607576
Córdoba,2003,1126.9493,8.396631393694841,13421.445424485866
Córdoba,2004,1745.7037,8.767402951109663,19911.297675431375
Córdoba,2005,2183.4601,9.612726384123917,22714.264535877515
Córdoba,2006,2670.6603,10.660302377959722,25052.387871488674
Córdoba,2007,3537.1084,12.18514230002,29028.043439379402
Córdoba,2008,4356.7011,14.979653147032298,29084.12536149497
Córdoba,2009,4555.2298,17.456561530567843,26094.656682665864
Córdoba,2010,6061.7466,21.376348487281444,28357.25944310196
Córdoba,2011,9122.2558,26.570964534575943,34331.66977483825
